,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,sentiment
0,0,,Delightful,Happy Happy 😊,0,delight happi happi,negative
1,1,,Delightful,Best AC provide by Godrej Indian brand in this price.Instant Cooling 👌🏻5 in 1 convertible features are very good👌🏻I am using since 5 days very good performance it giving.I am happy with Flipkart,0,delight best ac provid godrej indian brand priceinst cool convert featur goodi use sinc day good perform givingi happi flipkart,negative
2,2,,Best in the market!,Super coolingWill update further after one week use,0,best market super coolingwil updat week use,negative
3,3,,Wonderful,Supper product,0,wonder supper product,negative
4,4,,Delightful,"Technician was very good and polite person, actually performance will be evaluate during the summer season.",0,delight technician good polit person actual perform evalu summer season,negative
5,5,,Simply awesome,Review after 2 days of use- Delivery was perfect- Installation was disappointing due to unprofessional behaviour of technician- Look & appearance is nice- Overall Cooling is ok- Running sound is very high and a matter of disturbance to guests as the same is installed in my drawing room (compared to other AC installed in my flat Bluestar/voltas)- lowest temp at AC air delivery point noted as 12degree after 2.15hrs of continuous run at 20 degree setting temp.,0,simpli awesom review day use deliveri perfect instal disappoint due unprofession behaviour technician look appear nice overal cool ok run sound high matter disturb guest instal draw room compar ac instal flat bluestarvolta lowest temp ac air deliveri point note degre hrs continu run degre set temp,negative
6,6,,Worth every penny,"Edit:18May : identified sound will be low when autofan mode is selected and set temp is attained. Sometimes ac works like it is dry mode when actually is in cool mode. As of now got adapted and is okay with the ac. Happy now with the purchase.Edit:29 April : After few days of use , the sound issue has popped up. Now I understand on the reviews but wondering why it was not there till yesterday. The sound is now annoying. 25April: Happy with the product. Expected little noise based on feed...",0,worth everi penni editmay identifi sound low autofan mode select set temp attain sometim ac work like dri mode actual cool mode got adapt okay ac happi purchaseedit april day use sound issu pop understand review wonder till yesterday sound annoy april happi product expect littl nois base feed,negative
7,7,,Brilliant,Great fitting,0,brilliant great fit,negative
8,8,,Wonderful,"It cools the room at stipulated time, acceptable noise, btw this is our first AC for our family",0,wonder cool room stipul time accept nois btw first ac famili,negative
9,9,,Super!,I was afraid of this product before ordering because of the bad reviews but after receiving and using it I'm really happy..I have ordered a 1.5 ton 5 star unit..Plz note i have not taken installation from filpkart...after receiving AC i called Godrej customer care and booked the installation + demo request and next day installation done..Plz go for it without hesitation.,0,super afraid product order bad review receiv use im realli happyi order ton star unitplz note taken instal filpkartaft receiv ac call godrej custom care ed instal demo request next day instal dplz go without hesit,negative
10,10,,Good choice,Nice product 😊,0,good choic nice product,negative
11,11,,Worth the money,"Pros:I'm happy to write a positive review for the Godrej air conditioner. This air conditioner is truly a remarkable product that offers exceptional features and performance. From its sleek and modern design to its energy-efficient operation, the Godrej air conditioner is a great choice for anyone looking to cool their home or office.One of the standout features of the Godrej air conditioner is its powerful cooling capabilities. It is equipped with advanced technology that ensures quick a...",0,worth prosim happi write posit review godrej air conditir air conditir truli remark product offer except featur perform sleek modern design energyeffici oper godrej air conditir great choic look cool home officeon standout featur godrej air conditir power cool capabl equip advanc technolog ensur quick,negative
12,12,,Good,"Giving review after 1 month of usage. Positive: 1. Value for money.2. Cooling is good.3. Energy efficient.Negative: 1. Fan is noisy.2. You cannot change fan speed in variable modes, the fan runs at the highest speed which is irritating.  You can see in the remote the speed is changing but actually the fan will run at the highest speed.",0,good give review month usag posit valu cool good energi efficientneg fan noisi chang fan speed variabl mode fan run highest speed irrit see remot speed chang actual fan run highest speed,negative
13,13,,Worth every penny,Good product,0,worth everi penni good product,negative
14,14,,Must buy!,Super 👌,0,must buy super,negative
15,15,,Terrible product,Getting fan Noise. Cools in heavy heart but worst installation. It's the same as the ceiling fan sound.,0,terribl product get fan nois cool heavi heart worst instal ceil fan sound,negative
16,16,,Just wow!,"A very good product..must go for it.. inshanly sleek design, perfect cooling, good support from gedrej service centre..",0,wow good productmust go inshan sleek design perfect cool good support gedrej servic centr,negative
