,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined
0,0,,Excellent,Good👍,0,excel good
1,1,,Wonderful,Very good HD picture quality  of this TV and timely delivery and installation is very systematic process. Thanks for Flipkart & Samsung team related this item.,0,wonder good hd pictur qualiti tv time deliveri instal systemat process thank flipkart samsung team relat item
2,2,,Great product,Nice TV in this price,0,great product nice tv price
3,3,,Highly recommended,Absolutely value for money.,0,high recommend absolut valu
4,4,,Terrific purchase,Good quality at this price. Picture quality is very good. Sound quality is also very good.,0,terrif purchas good qualiti price pictur qualiti good sound qualiti also good
5,5,,Best in the market!,"I m using this tv for the past 10 days..I found that the following Image quality is good,Sound quality is good,Connectivity is good, Overall the product is good to use...Samsung is better than Mi, Redmi and Vu TVs Go for it....",0,best market use tv past daysi found follow imag qualiti goodsound qualiti goodconnect good overal product good usesamsung better mi redmi vu tvs go
6,6,,Excellent,Nice product,0,excel nice product
7,7,,Super!,Good product from samsung,0,super good product samsung
8,8,,Value-for-money,"Value for money.. Pros: Picture quality and different picture modes.Sound quality is beyond expectations.Have all the necessary apps and you can also download them.Smooth interface, not too much lag.Cons:Casting: sometimes picture/video doesn't show while casting.Thick besels in 2020.Overall I would say it's a fantastic product from Samsung. Happy that I didn't buy the cheap Chinese alternatives. Go for it if 32 inch hd ready smart tv is your choice. Loved the product...",0,valueformi valu pros pictur qualiti differ pictur modessound qualiti beyond expectationshav necessari app also download themsmooth interfac much lagconscast sometim picturevideo doesnt show castingthick besel overal would say fantast product samsung happi didnt buy cheap chines altern go inch hd readi smart tv choic love product
9,9,,Perfect product!,Excellent Quality! Excellent Services!,0,perfect product excel qualiti excel servic
10,10,,Just wow!,Great picture quality overall awesome tvSamsung best,0,wow great pictur qualiti overal awesom tvsamsung best
11,11,,Brilliant,Very Good Picture Quality with a decent sound system. You can surely go for this product in this price range. Good delivery by Flipkart.,0,brilliant good pictur qualiti decent sound system sure go product price rang good deliveri flipkart
12,12,,Awesome,Picture and sound quility Super. Awesome Samsung. ExpirenceIs Amazing. Thankyou Flipkart.,0,awesom pictur sound quiliti super awesom samsung expirencei amaz thankyou flipkart
13,13,,Pretty good,When u receive it first thing u do.. just update the tv software.. Change the Sound preferences to amplify..For good picture quality u have to subscribe first HD channels on ur dish..or HD files input required..Normal tv channels burst on screen ..Wireless connectivity is awesome..Power consumption is a bit high as it's rated 2/5.,0,pretti good u receiv first thing u updat tv softwar chang sound prefer amplifyfor good pictur qualiti u subscrib first hd channel ur dishor hd file input requirednorm tv channel burst screen wireless connect awesomepow consumpt bit high rate
14,14,,Great product,Awesome ...no one comparison to this one..I am totally impressed...thanku.samsung..  to make.. this type of television... Nice .. buy...it. don't think... About  to purchase to... Samsung... Nice... I will provide ..5 out 5....,0,great product awesom comparison total impressedthankusamsung make type televis nice buyit dont think purchas samsung nice provid
15,15,,Fabulous!,Nice product from Samsung this my 2nd led tv it's awesome,0,fabul nice product samsung nd led tv awesom
16,16,,Mind-blowing purchase,"I was in hurry to buy and I don't find any Bette deal like this. Samsung has trusted customer value so, I go for it. Actually there are so many options but price difference of 1k to 2k I don't want to take chance for chinese brand. So I opted for this and satisfied. My kid love it and it's compact size fits in my bedroom easily.",0,mindblow purchas hurri buy dont find bett deal like samsung trust custom valu go actual mani option price differ k k dont want take chanc chines brand opt satisfi kid love compact size fit bedroom easili
17,17,,Mind-blowing purchase,I am using this tv from 6 months....picture quality and sound quality is awsm...screen mirrior work perfectly....I use screen mirrior for watching movie and listining music...very nice sound quality...I love this tv,0,mindblow purchas use tv monthspictur qualiti sound qualiti awsmscreen mirrior work perfectlyi use screen mirrior watch movi listin musicveri nice sound qualityi love tv
18,18,,Brilliant,I am satisfied..Picture quality is awesome 😻😎Sound quality is good 🙂Installation work very fastFlipkart service very good 🙂👍Thank u Flipkart 👏,0,brilliant satisfiedpictur qualiti awesom sound qualiti good instal work fastflipkart servic good thank u flipkart
19,19,,Delightful,Very good 👍 tv,0,delight good tv
20,20,,Delightful,"overall is good compare to price, pictures quality is good but not hd intertnet options are also good it affordable and good",0,delight overal good compar price pictur qualiti good hd intertnet option also good afford good
21,21,,Brilliant,Nice one at this price good Samsung 🙏🙏🙏🙏My first Samsung led tv 📺 Befor I always use lg but this time Samsung I’m happy with Samsung led tv great job by Samsung and the Flipkart Thank you 🙏 Flipkart to deliver in this lockdown also little bit late but great work by Flipkart Good luck 😉,0,brilliant nice price good samsung first samsung led tv befor alway use lg time samsung im happi samsung led tv great job samsung flipkart thank flipkart deliv lockdown also littl bit late great work flipkart good luck
22,22,,Value-for-money,Nice smart tv for samsung with this price and installation also very fast within 24 hour's. Thnk u😊😊,0,valueformi nice smart tv samsung price instal also fast within hour thnk u
23,23,,Worth the money,"Go for it Nice 32 inch tv by our old trusted brand SamsungSamsung make TV's from CRT edition to now QLEDAnd then Samsung service any where by their experts was goodOn last I want to say if any one want to buy tv remember this points:*Go for a trusted brand who gave good after sale service  because this was a tv not a mobile which we donot change after 2 or 3 years.*Check ratings from inside like picture, sound, connectivity.*Check online reviews ,video etc",0,worth go nice inch tv old trust brand samsungsamsung make tvs crt edit qledand samsung servic expert goodon last want say want buy tv rememb pointsgo trust brand gave good sale servic tv mobil donot chang yearscheck rate insid like pictur sound connectivitycheck onlin review video etc
24,24,,Must buy!,Good,0,must buy good
25,25,,Worth every penny,Really awesome tv best quality very good sound... Just go for it guys bcz its very bettet than mi TV.  Very low prize best quality tv great and tqq flipkart,0,worth everi penni realli awesom tv best qualiti good sound go guy bcz bettet mi tv low prize best qualiti tv great tqq flipkart
26,26,,Wonderful,Excellent,0,wonder excel
27,27,,Wonderful,"Sound quality not good , picture quality good ,  as this price very very good.",0,wonder sound qualiti good pictur qualiti good price good
28,28,,Terrific,Good tv in this price. sound quality is also good 👍👍,0,terrif good tv price sound qualiti also good
29,29,,Just wow!,"Very nice samsung LED TV , good quality 💖. Best sound quality.❤️Quick mobile support  and  good quality 😍Samsung sarvice is very good 😊. My choice five of one Always Samsung 😊💖❤️",0,wow nice samsung led tv good qualiti best sound qualityquick mobil support good qualiti samsung sarvic good choic five alway samsung
30,30,,Excellent,Very good product also great service from Samsung. I am writing this after 15 days usage. It's a quality product and mirror playing and other connectivity is scoring good number.,0,excel good product also great servic samsung write day usag qualiti product mirror play connect score good number
31,31,,Mind-blowing purchase,Awsm... value for money...good product....fast delivery...and services are fantastic.... thanks flipkart...❤️🤘,0,mindblow purchas awsm valu mygood productfast deliveryand servic fantast thank flipkart
