,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,Sentiment
0,0,,Wonderful,"Excellent product. Go for it.Best value for money and far better than Chinese brands like OPPO, vivo, MI, etc.I haven't found any cons in this mobile considering it price value.Camera - GoodPerformance - GoodUI - GoodDesign - Good.I switched from oneplus (after getting a green line issue) feel a bit lag (of course it should be, if looking at the price point).But, overall experience is good. Go for it if you are thinking to buy.2 things to do after buying this mobile :1) Go to settin...",0,wonder excel product go itbest valu far better chines brand like oppo vivo mi etci havent found con mobil consid price valuecamera goodperform goodui gooddesign goodi switch plus get green line issu feel bit lag cours look price pointbut overal experi good go think buy thing buy mobil go settin,positive
1,1,,Worth the money,"People should understand their requirements before purchasing. It is not a gaming phone. If you do heavy task over this you might be disappointed. It's for those who are looking for a phone for day to day tasks. Very nice to hold in hands due to its size. Battery, display, ui is excellent. Camera is also usable. I bought it as my secondary phone and I am pretty happy with it. Only one thing I am not currently satisfied is sometimes I feel little lag when I open an app. I hope samsung will fix...",0,worth peopl understand requir purchas game ph heavi task might disappoint look ph day day task nice hold hand due size batteri display ui excel camera also usabl bought secondari ph pretti happi thing current satisfi sometim feel littl lag open app hope samsung fix,positive
2,2,,Good quality product,Photos cames super 👌.. camera quality is super..,0,good qualiti product photo came super camera qualiti super,positive
3,3,,Good quality product,Pros- Back Look is Awesome (like a premium phone)- Super quality Display- 50MP back camera is OsmCons- Charging is very slow- Battery backup is decent - Front camera is not that good- Minor heating,0,good qualiti product pros back look awesom like premium ph super qualiti display mp back camera osmcon charg slow batteri backup decent front camera good minor heat,positive
4,4,,Highly recommended,I'm writing this after use of one month.. This phone is not for any kind of gaming.. You can play only Candy Crush type games.. Other than that multi tasking and daily used apps runs smooth. So performance - 4/5Camera is good.. OIS is helpful on 1080p video only.. Not in 4k.. Overall camera - 4.5/5Battery backup is good.. 5/5(Charging speed a little slow.) Display is top notch.. Brilliant display output.. 5/5Back panel is good. But there should be a punch hole display... So 3/5No ste...,0,high recommend im write use month ph kind game play candi crush type game multi task daili use app run smooth perform camera good oi help p video k overal camera batteri backup good charg speed littl slow display top notch brilliant display output back panel good punch hole display ste,positive
5,5,,Value-for-money,Good product,0,valueformi good product,positive
6,6,,Simply awesome,Samsung galaxy fast camera,0,simpli awesom samsung galaxi fast camera,negative
7,7,,Super!,Everything okay,0,super everyth okay,negative
8,8,,Terrific,🤳📸 - 4/5Battery 🔋- 4.5/5Display 5/5,0,terrif batteri display,negative
9,9,,Terrific purchase,Best phone 🤳 💗ever...,0,terrif purchas best ph ever,positive
10,10,,Terrific purchase,Best phone 🤳 💗ever...,0,terrif purchas best ph ever,positive
11,11,,Good,"The phone is heating while in general use only, May not handle heavy tasks. I think that the processor is not much capable. Company should recall all the phones.",0,good ph heat general use may handl heavi task think processor much capabl compani recal phs,positive
12,12,,Awesome,Very nice phone thanks Samsung and FlipkartDisplay 10. 10Proformas 10 .10Velyu for money 10. 9Camera 10. 8Battery 10.7Chating time 10. 5 very slow 🦥,0,awesom nice ph thank samsung flipkartdisplay proforma velyu camera batteri chate time slow,positive
13,13,,Excellent,My one month experience is damn good Display and software is too good .If you looking for a budget segment camera phone then it's the best option for youBut the high efficiency gaming isn't possible cause it contains Exynos processor.Camera :10/10Display :10/10Processor:8/10Battery:10/10Software:10/10,0,excel month experi damn good display softwar good look budget segment camera ph best option youbut high effici game isnt possibl caus contain exyno processorcamera display processorbatterysoftwar,positive
14,14,,Brilliant,Amazing 📷 pic,0,brilliant amaz pic,positive
15,15,,Delightful,Nice product,0,delight nice product,positive
16,16,,Good,"The battery is draining too fast.The camera is not up to quality , not hoped for this quality from Samsung.Regarding performance it lags quite often.Battery doesn't last the whole day even after normal usage, forget lasting on gaming.",0,good batteri drain fastth camera qualiti hope qualiti samsungregard perform lag quit oftenbatteri doesnt last whole day even normal usag forget last game,positive
17,17,,Wonderful,Just ok,0,wonder ok,negative
18,18,,Simply awesome,Good,0,simpli awesom good,positive
19,19,,Decent product,It's not worth it from a brand like samsung..Battery back up is not upto mark as it has 6000MAH of battery which last only for 24 hours of moderate use..Second front camera is useless.Except for display I didn't find anything worthy.I am samsung phone lover but 1st time I feel like betrayed..,0,decent product worth brand like samsungbatteri back upto mark mah batteri last hour moder usesecond front camera uselessexcept display didnt find anyth worthyi samsung ph lover st time feel like betray,negative
20,20,,Wonderful,"I'm writing the review after using it for 10+ days I actually didn't thought this phone would be so great!! The camera quality is really good🫶🏻🩷 really didn't thought that Samsung would provide such a good camera in this rate... I gave some raw pictures as examples 🎢🎡Battery is also good 🔋(depends on how and how much time we use our phone, everyone has different usage type)Didn't tried gaming yet but yes in this range Samsung F34 5g has good performanceI tried my hands on Samsung...",0,wonder im write review use day actual didnt thought ph would great camera qualiti realli good realli didnt thought samsung would provid good camera rate gave raw pictur exampl batteri also good depend much time use ph everi differ usag typedidnt tri game yet yes rang samsung f g good performancei tri hand samsung,positive
21,21,,Mind-blowing purchase,Design 7/10Display 9/10Performance 8/10Camera 8/10Battery 10/10Software 9/10Haptics and sound 7/101.Over heating after heavy gaming for hours2.Absolute fine RAM management3.Feels rare gitter with heavy usage but easy with daily task4. Better software support from company regarding after saleservice.6. Buying separate Charging adaptor is some depending,0,mindblow purchas design display perform camera batteri softwar haptic sound heat heavi game hoursabsolut fine ram managementfeel rare gitter heavi usag easi daili task better softwar support compani regard saleservic buy separ charg adaptor depend,positive
22,22,,Wonderful,Brought it during big billion days. Overall it's average phone at this price. I m satisfied with my phone,0,wonder brought big billion day overal averag ph price satisfi ph,negative
23,23,,Brilliant,Overall very good phone for long uses.. battery is awesome in segment .. I have Redmi phone and then realme but after 1 Yr Redmil and realme get battery drain fast But yes phone is not for gamer bc it won't handle heavy game for long time Display is good but it won't go beyond 1080p in ytube One more u won't getting charger in box so be ready to spend more 1k for that as it won't support other charger as fast charge.. for ex. I have 33 wt realme charger but it take 3 hrs for charging and b...,0,brilliant overal good ph long use batteri awesom segment redmi ph realm yr redmil realm get batteri drain fast yes ph gamer bc wont handl heavi game long time display good wont go beyond p ytube one u wont get charger box readi spend k wont support charger fast charg ex wt realm charger take hrs charg b,positive
24,24,,Worth every penny,As of now phone working fine.,0,worth everi penni ph work fine,positive
25,25,,Wonderful,"Good smart phone better camera and ois support quality and super sampled display look like SAMSUNG s series 5g available always on display 25w fast charging,but battery life is bit lowThank you...",0,wonder good smart ph better camera oi support qualiti super sampl display look like samsung seri g avail alway display w fast chargingbut batteri life bit lowthank,positive
26,26,,Very Good,Battery drying slight fastly. An update need to fix it. Others all are good,0,good batteri dri slight fast updat need fix other good,positive
27,27,,Pretty good,Simply Awesome...😍Very Nice Phone And Only One Problem Of This Phone. Samsung Company Was Removing Charger Adapter. And Charger Prize 999,0,pretti good simpli awesomeveri nice ph one problem ph samsung compani remov charger adapt charger prize,positive
28,28,,Worth every penny,1 Number Product By Samsung Bharat 🇮🇳,0,worth everi penni number product samsung bharat,positive
29,29,,Worth the money,Nice camera and performance at a price however there is little heating issue,0,worth nice camera perform price howev littl heat issu,positive
30,30,,Just wow!,Nice product 👌,0,wow nice product,positive
31,31,,Worth the money,In this budget  segment  best phone. Nice connectivity nice camera nice battery backup  and also Fabulous  performance.,0,worth budget segment best ph nice connect nice camera nice batteri backup also fabul perform,positive
32,32,,Nice product,Good,0,nice product good,positive
33,33,,Just okay,After 1week of use genuine review1.Lag issue 😭2.software uninstall problem.. take a long time to uninstall any app3.display is good but slow .. I can't feel 120 hz I think this 3 is mager issue in this phone I hope Samsung fix it soon throw updates,0,okay week use genuin reviewlag issu softwar uninstal problem take long time uninstal appdisplay good slow cant feel hz think mager issu ph hope samsung fix soon throw updat,negative
34,34,,Best in the market!,Fantastic mobile at this cost Value for money Camera is awesomeBattery is too big Display satisfied 💯Totally it is a good phone for daily usage Performance is good,0,best market fantast mobil cost valu camera awesomebatteri big display satisfi total good ph daili usag perform good,positive
35,35,,Nice product,Beautiful camera 📷 😍 ❤️,0,nice product beauti camera,positive
36,36,,Excellent,Good mobile  Samsung f34 Camera _ good. Display _good Permanence _good Gameing  _  good,0,excel good mobil samsung f camera good display good perman good game good,positive
37,37,,Terrible product,5G not working with jio network other mobile devices working with jio same places,0,terribl product g work jio network mobil devic work jio place,negative
38,38,,Excellent,"Good phone, battery marvelous, display old design but good, Camera is great A tip for you- take a photo of a person in 2x zoom or 2.5x zoom in normal mode then in gallery you will find option to add potrait mode to photo....just do it....I assure you this photo it captured will compete s lineup of SamsungProcessor isn't good at all But since now the price is reduced to 12000/- (I bought it after card discount) then currently at this price its better then other realme, poco, or VIvo o...",0,excel good ph batteri marvel display old design good camera great tip take photo person x zoom x zoom normal mode galleri find option add potrait mode photojust iti assur photo captur compet lineup samsungprocessor isnt good sinc price reduc bought card discount current price better realm poco vivo,positive
39,39,,Super!,Nice product from Samsung phone Customize designPerfect sizeBattery backup perfectCamera goodThank you Flipkart,0,super nice product samsung ph custom designperfect sizebatteri backup perfectcamera goodthank flipkart,positive
40,40,,Terrific purchase,Nice phone simply super,0,terrif purchas nice ph simpli super,positive
41,41,,Super!,"Purhase in Big billion days 6(128) Camera 4/5 good camera 4k 30fps on back camera, front is Also good but only 1080p for video recardingTaken decent Picture I attachedBattery- 1 day with hard useDisply- AwasomeProcessor - phone is not for gamingCharging- Adopter not provided only cable in this box so you also buy Original Adaptor 25w its price approx 1000extra Fast charging Take 1h 45minute",0,super purhas big billion day camera good camera k fps back camera front also good p video recardingtaken decent pictur attachedbatteri day hard usedispli awasomeprocessor ph gamingcharg adopt provid cabl box also buy origin adaptor w price approx extra fast charg take h minut,positive
42,42,,Must buy!,Overall nice performance of this mobile,0,must buy overal nice perform mobil,positive
43,43,,Best in the market!,Overall product is just amazing.  We have so many features here. Camera ⭐️⭐️⭐️⭐️System ⭐️⭐️⭐️⭐️⭐️Battery ⭐️⭐️⭐️⭐️⭐️And just have fantafablous experience,0,best market overal product amaz mani featur camera system batteri fantafabl experi,positive
44,44,,Classy product,Awesome samsung galaxy F34 5G mobile nice experience battery life is nice,0,classi product awesom samsung galaxi f g mobil nice experi batteri life nice,positive
45,45,,Fabulous!,overall a goot mobile phone for a responsible person who use mobile as a mobile not as a video game or as a tool to ignore his unemployement.,0,fabul overal goot mobil ph respons person use mobil mobil video game tool ignor unemploy,negative
46,46,,Worth every penny,Excellent phone for the price. UI is clean and buttery smooth glitch free. User experience is very satisfactory.,0,worth everi penni excel ph price ui clean butteri smooth glitch free user experi satisfactori,positive
47,47,,Fabulous!,"For non gamers and high users, Everything is good except heating, fast charging and 120fps in 5g sucks",0,fabul non gamer high user everyth good except heat fast charg fps g suck,negative
48,48,,Brilliant,"Previously I'm using light wait smartphone so when I use this phone ,I feel so uncomfortable on my pocket bcozz this phone is 210Gm,so consider this and back panel is average ,And everything is fantastic,",0,brilliant previous im use light wait smartph use ph feel uncomfort pocket bcozz ph gmso consid back panel averag everyth fantast,negative
49,49,,Highly recommended,"Absolutely loving ❤️my new Samsung F34 5G mobile📱!! The sleek design and impressive features. The 5G connectivity is lightning-fast, making streaming and browsing a breeze. The camera quality is outstanding, capturing clear and vibrant photos📸. The battery🔋life is also good, lasting me throughout the day with heavy usage. Overall, it was a fantastic purchase that I highly recommend to anyone looking for a budget top-notch smartphone experience...📱📸🔋👍👍",0,high recommend absolut love new samsung f g mobil sleek design impress featur g connect lightningfast make stream brows breez camera qualiti outstand captur clear vibrant photo batterylif also good last throughout day heavi usag overal fantast purchas high recommend look budget topnotch smartph experi,positive
50,50,,Simply awesome,"Phone is really good at this price point. All the requirements are fulfilled for a common person. Good camera, good processor, great battery.... wat more you need than this.",0,simpli awesom ph realli good price point requir fulfil common person good camera good processor great batteri wat need,positive
51,51,,Terrific purchase,Amazing camera,0,terrif purchas amaz camera,negative
52,52,,Delightful,Camera: Rear camera is good..I loved the night mode capture...but there is only 10x zoom and quality is also not good...front camer is okay Battery: It is promised as 2 days Battery backup but it's not Performance: I'm not a gamer nor a heavy user..i only use for daily tasks so for that i loved the Performance Design: Back side of the phone is very classy but it's l'll heavy Display: Loved it I loved the features...overall it's a good phone 👍,0,delight camera rear camera goodi love night mode capturebut x zoom qualiti also goodfront camer okay batteri promis day batteri backup perform im gamer heavi useri use daili task love perform design back side ph classi lll heavi display love love featuresoveral good ph,positive
53,53,,Great product,Superb quality...Display  quality Camera quality Performance all are good...,0,great product superb qualitydisplay qualiti camera qualiti perform good,positive
54,54,,Nice product,"Pros1.Display is good 120 hz amoled panel2. Battery backup is also good it lasts more than one full day for me and I will not play games much3. One UI is also good compared to all other mobiles except iOS.. 4. Design is also good with glass protection on front and decent plastic on back, I liked the Design personally, but the camera bump is high, have to use back cover..Cons1. As of now performance is good, but in long run I don't know how exynos processors react, let's see after 3 year...",0,nice product prosdisplay good hz amol panel batteri backup also good last full day play game much one ui also good compar mobil except io design also good glass protect front decent plastic back like design person camera bump high use back covercon perform good long run dont know exyno processor react let see year,positive
55,55,,Does the job,This phone has some severe heating and battery drainage issue. I have been using Samsung  for more than 9 years now but this phone is worst. Exynos is a heater not a processor!! And phone is not thin. Don't waste your money.,0,job ph sever heat batteri drainag issu use samsung year ph worst exyno heater processor ph thin dont wast,negative
56,56,,Decent product,Display and camera good. Little heating issue..and processor bit slow.,0,decent product display camera good littl heat issueand processor bit slow,positive
57,57,,Wonderful,Nice mobile nice function everything is good but with adaptor it's very expensive...,0,wonder nice mobil nice function everyth good adaptor expens,positive
58,58,,Good quality product,"All good but it gets a little too hit fast. The camera is also good, but I didn't notice any difference in the night camera. Besides, I saw that everything was fine. I have been using it for a week. Now let's see how long this phone lasts.",0,good qualiti product good get littl hit fast camera also good didnt notic differ night camera besid saw everyth fine use week let see long ph last,positive
59,59,,Worth the money,Review after 1 week of use :1. After setting up the phone it will upgrade to OneUi 6 with Android 14.2. No heating issue as I use my phone in direct sunlight for 3-4 hours.3. Display is really good.4. Battery last for the full day. I'm using my old phone charge which was of Mi 33w. So it charges little quick.5. Camera is okayish.Cons:1. Stereo speaker could be provided2. Can't go above 1080p,0,worth review week use set ph upgrad oneui android heat issu use ph direct sunlight hour display realli good batteri last full day im use old ph charg mi w charg littl quick camera okayishcon stereo speaker could provid cant go p,positive
60,60,,Pretty good,All rounder Mobile,0,pretti good rounder mobil,positive
61,61,,Highly recommended,This is a best mobile for a non Gamer person But except this I think this is te best phone in this price I bought it for 13000 + 1050(charger )I am ratings itDisplay 10 out of 10Back camera 10 out of 10Front camera 8 out of 10Battery10 out of 10Software 20 out of 10Design 7 out of 10!! My opinion is to buy a case with this immediately It gates to many scratches in 2 days,0,high recommend best mobil non gamer person except think te best ph price bought charger rate itdisplay back camera front camera batteri softwar design opinion buy case immedi gate mani scratch day,positive
62,62,,Terrific,Mobile is good 😊Camera is awesomeHeats sometime may be due to the processor flagship mobiles also heats don't wworry,0,terrif mobil good camera awesomeheat sometim may due processor flagship mobil also heat dont wworri,positive
63,63,,Best in the market!,Writing this after using it for 15 days...A good and decent mobile in this price range. Performance is good without any lag. No idea about gaming but it would be best for normal use.🔋Battery (4/5) - Takes abt 2 hrs for full charging 📸 Camera(4/5)- Best in this range; night shots are awesome.🔊Sound quality (5/5) 🔥📶No problem in network connectivity! Smooth settings and display!A petition to samsung to give charger along with mobiles🥲😅!!!,0,best market write use daysa good decent mobil price rang perform good without lag idea game would best normal usebatteri take abt hrs full charg camera best rang night shot awesomesound qualiti problem network connect smooth set displaya petit samsung give charger along mobil,positive
64,64,,Awesome,Camera 100%Battery 100%Display 100%Performance 100%Design 60%Giving rating after 7 day's use 👍 almost good But charger adepter should be provid with box that is minus point only 🙄,0,awesom camera batteri display perform design give rate day use almost good charger adept provid box minus point,positive
65,65,,Terrific purchase,Good phone at 15k. Loved the 120Hz display. 6GB RAM feels sluggish at times.,0,terrif purchas good ph k love hz display gb ram feel sluggish time,positive
66,66,,Best in the market!,Nice product,0,best market nice product,positive
