Unnamed: 0,Rating,Review Title,Review Body,Label,Combined
0,,Delightful,Happy Happy 😊,0,delightful happy happy
1,,Delightful,Best AC provide by Godrej Indian brand in this price.Instant Cooling 👌🏻5 in 1 convertible features are very good👌🏻I am using since 5 days very good performance it giving.I am happy with Flipkart,0,delightful best ac provide by godrej indian brand in this priceinstant cooling in convertible features are very goodi am using since days very good performance it givingi am happy with flipkart
2,,Best in the market!,Super coolingWill update further after one week use,0,best in the market super coolingwill update further after week use
3,,Wonderful,Supper product,0,wonderful supper product
4,,Delightful,"Technician was very good and polite person, actually performance will be evaluate during the summer season.",0,delightful technician was very good and polite person actually performance will be evaluate during the summer season
5,,Simply awesome,Review after 2 days of use- Delivery was perfect- Installation was disappointing due to unprofessional behaviour of technician- Look & appearance is nice- Overall Cooling is ok- Running sound is very high and a matter of disturbance to guests as the same is installed in my drawing room (compared to other AC installed in my flat Bluestar/voltas)- lowest temp at AC air delivery point noted as 12degree after 2.15hrs of continuous run at 20 degree setting temp.,0,simply awesome review after days of use delivery was perfect installation was disappointing due to unprofessional behaviour of technician look appearance is nice overall cooling is ok running sound is very high and a matter of disturbance to guests as the same is installed in my drawing room compared to other ac installed in my flat bluestarvoltas lowest temp at ac air delivery point noted as degree after hrs of continuous run at degree setting temp
6,,Worth every penny,"Edit:18May : identified sound will be low when autofan mode is selected and set temp is attained. Sometimes ac works like it is dry mode when actually is in cool mode. As of now got adapted and is okay with the ac. Happy now with the purchase.Edit:29 April : After few days of use , the sound issue has popped up. Now I understand on the reviews but wondering why it was not there till yesterday. The sound is now annoying. 25April: Happy with the product. Expected little noise based on feed...",0,worth every penny editmay identified sound will be low when autofan mode is selected and set temp is attained sometimes ac works like it is dry mode when actually is in cool mode as of now got adapted and is okay with the ac happy now with the purchaseedit april after few days of use the sound issue has popped up now i understand on the reviews but wondering why it was not there till yesterday the sound is now annoying april happy with the product expected little noise based on feed
7,,Brilliant,Great fitting,0,brilliant great fitting
8,,Wonderful,"It cools the room at stipulated time, acceptable noise, btw this is our first AC for our family",0,wonderful it cools the room at stipulated time acceptable noise btw this is our first ac for our family
9,,Super!,I was afraid of this product before ordering because of the bad reviews but after receiving and using it I'm really happy..I have ordered a 1.5 ton 5 star unit..Plz note i have not taken installation from filpkart...after receiving AC i called Godrej customer care and booked the installation + demo request and next day installation done..Plz go for it without hesitation.,0,super i was afraid of this product before ordering because of the bad reviews but after receiving and using it im really happyi have ordered a ton star unitplz note i have not taken installation from filpkartafter receiving ac i called godrej customer care and ed the installation demo request and next day installation dplz go for it without hesitation
10,,Good choice,Nice product 😊,0,good choice nice product
11,,Worth the money,"Pros:I'm happy to write a positive review for the Godrej air conditioner. This air conditioner is truly a remarkable product that offers exceptional features and performance. From its sleek and modern design to its energy-efficient operation, the Godrej air conditioner is a great choice for anyone looking to cool their home or office.One of the standout features of the Godrej air conditioner is its powerful cooling capabilities. It is equipped with advanced technology that ensures quick a...",0,worth the my prosim happy to write a positive review for the godrej air conditir this air conditir is truly a remarkable product that offers exceptional features and performance from its sleek and modern design to its energyefficient operation the godrej air conditir is a great choice for any looking to cool their home or officeone of the standout features of the godrej air conditir is its powerful cooling capabilities it is equipped with advanced technology that ensures quick a
12,,Good,"Giving review after 1 month of usage. Positive: 1. Value for money.2. Cooling is good.3. Energy efficient.Negative: 1. Fan is noisy.2. You cannot change fan speed in variable modes, the fan runs at the highest speed which is irritating.  You can see in the remote the speed is changing but actually the fan will run at the highest speed.",0,good giving review after month of usage positive value for my cooling is good energy efficientnegative fan is noisy you cannot change fan speed in variable modes the fan runs at the highest speed which is irritating you can see in the remote the speed is changing but actually the fan will run at the highest speed
13,,Worth every penny,Good product,0,worth every penny good product
14,,Must buy!,Super 👌,0,must buy super
15,,Terrible product,Getting fan Noise. Cools in heavy heart but worst installation. It's the same as the ceiling fan sound.,0,terrible product getting fan noise cools in heavy heart but worst installation its the same as the ceiling fan sound
16,,Just wow!,"A very good product..must go for it.. inshanly sleek design, perfect cooling, good support from gedrej service centre..",0,just wow a very good productmust go for it inshanly sleek design perfect cooling good support from gedrej service centre
17,,Classy product,It has been about a month now and this ac is doing a good job. I mostly run it at 27 degrees or above and don't find any issues with cooling or even no annoying noise from the outdoor unit as mentioned in some reviews. It runs around 15 hours per day.Will get to know the electricity consumption only once the bill is generated.,0,classy product it has been about a month now and this ac is doing a good job i mostly run it at degrees or above and dont find any issues with cooling or even no annoying noise from the outdoor unit as mentid in some reviews it runs around hours per daywill get to know the electricity consumption only once the bill is generated
18,,Terrific purchase,"Godrej ac is highly reliable. I couldn't check the current consumption as all gadgets in my house are connected to one power meter.Because it's a convert 5in1 split ac, noise is high in C5 with maximum fan speed in indoor. However if we keep the fan in lowest speed and @ C1, it's very silent with excellent cooling for ground floor room.Only drawback I could note is that the indoor doesn't show the room temprature. It shows only the set temprature. Godrej should incorporate this in future mo...",0,terrific purchase godrej ac is highly reliable i couldnt check the current consumption as all gadgets in my house are connected to power meterbecause its a convert in split ac noise is high in c with maximum fan speed in indoor however if we keep the fan in lowest speed and c its very silent with excellent cooling for ground floor roomonly drawback i could note is that the indoor doesnt show the room temprature it shows only the set temprature godrej should incorporate this in future mo
19,,Nice,After few days it smell very bad for few hours Than automatically get repair Cooling is good Energy efficient Daily uses 15 hours /10 unit per day,0,nice after few days it smell very bad for few hours than automatically get repair cooling is good energy efficient daily uses hours unit per day
20,,Really Nice,Delivered at the same time they give and installation is NXT to the delivery date and it's fantastic to buy this product.,0,really nice delivered at the same time they give and installation is nxt to the delivery date and its fantastic to buy this product
21,,Best in the market!,Very nice cooling iam soo happy thankyou flipcart,0,best in the market very nice cooling iam soo happy thankyou flipcart
22,,Terrific,Super cooling  good service and instalation,0,terrific super cooling good service and instalation
23,,Fair,Cooling is not as expected then the blue star and fan sou,0,fair cooling is not as expected then the blue star and fan sou
24,,Very Good,"I am giving this review after using last 7 months.Pros  : If you use 10/12 hours then 3/4 units of it will come.  Even after turning off AC, the room remains cold till 30/40 minutes.Cons: Cooling speed is very slow.The water is falling very slowly from the indoor unit, I don't know why this is happening.I give 4 star because only electricity unit.",0,very good i am giving this review after using last monthspros if you use hours then units of it will come even after turning off ac the room remains cold till minutescons cooling speed is very slowthe water is falling very slowly from the indoor unit i dont know why this is happeningi give star because only electricity unit
25,,Good quality product,Ok good👌👌👌,0,good quality product ok good
26,,Terrific,Very good productAnd the packaging is too good I am satisfied with this product,0,terrific very good productand the packaging is too good i am satisfied with this product
27,,Delightful,"Good product, I bought it almost 5000 cheaper than offline, but the installation cost has to be born by us.",0,delightful good product i bought it almost cheaper than offline but the installation cost has to be born by us
28,,Worth the money,Superb cooling ...the best part of ac is remote has very big screen and feels like a premium remote..worth it product ....,0,worth the my superb cooling the best part of ac is remote has very big screen and feels like a premium remoteworth it product
29,,Good choice,Good,0,good choice good
