,Rating,Review Title,Review Body
0,5,Wonderful,"Excellent product. Go for it.Best value for money and far better than Chinese brands like OPPO, vivo, MI, etc.I haven't found any cons in this mobile considering it price value.Camera - GoodPerformance - GoodUI - GoodDesign - Good.I switched from oneplus (after getting a green line issue) feel a bit lag (of course it should be, if looking at the price point).But, overall experience is good. Go for it if you are thinking to buy.2 things to do after buying this mobile :1) Go to settin..."
1,4,Worth the money,"People should understand their requirements before purchasing. It is not a gaming phone. If you do heavy task over this you might be disappointed. It's for those who are looking for a phone for day to day tasks. Very nice to hold in hands due to its size. Battery, display, ui is excellent. Camera is also usable. I bought it as my secondary phone and I am pretty happy with it. Only one thing I am not currently satisfied is sometimes I feel little lag when I open an app. I hope samsung will fix..."
2,4,Good quality product,Photos cames super 👌.. camera quality is super..
3,4,Good quality product,Pros- Back Look is Awesome (like a premium phone)- Super quality Display- 50MP back camera is OsmCons- Charging is very slow- Battery backup is decent - Front camera is not that good- Minor heating
4,5,Highly recommended,I'm writing this after use of one month.. This phone is not for any kind of gaming.. You can play only Candy Crush type games.. Other than that multi tasking and daily used apps runs smooth. So performance - 4/5Camera is good.. OIS is helpful on 1080p video only.. Not in 4k.. Overall camera - 4.5/5Battery backup is good.. 5/5(Charging speed a little slow.) Display is top notch.. Brilliant display output.. 5/5Back panel is good. But there should be a punch hole display... So 3/5No ste...
5,4,Value-for-money,Good product
6,5,Simply awesome,Samsung galaxy fast camera
7,5,Super!,Everything okay
8,5,Terrific,🤳📸 - 4/5Battery 🔋- 4.5/5Display 5/5
9,5,Terrific purchase,Best phone 🤳 💗ever...
10,5,Terrific purchase,Best phone 🤳 💗ever...
11,3,Good,"The phone is heating while in general use only, May not handle heavy tasks. I think that the processor is not much capable. Company should recall all the phones."
12,5,Awesome,Very nice phone thanks Samsung and FlipkartDisplay 10. 10Proformas 10 .10Velyu for money 10. 9Camera 10. 8Battery 10.7Chating time 10. 5 very slow 🦥
13,5,Excellent,My one month experience is damn good Display and software is too good .If you looking for a budget segment camera phone then it's the best option for youBut the high efficiency gaming isn't possible cause it contains Exynos processor.Camera :10/10Display :10/10Processor:8/10Battery:10/10Software:10/10
14,5,Brilliant,Amazing 📷 pic
15,4,Delightful,Nice product
16,3,Good,"The battery is draining too fast.The camera is not up to quality , not hoped for this quality from Samsung.Regarding performance it lags quite often.Battery doesn't last the whole day even after normal usage, forget lasting on gaming."
17,4,Wonderful,Just ok
18,5,Simply awesome,Good
19,3,Decent product,It's not worth it from a brand like samsung..Battery back up is not upto mark as it has 6000MAH of battery which last only for 24 hours of moderate use..Second front camera is useless.Except for display I didn't find anything worthy.I am samsung phone lover but 1st time I feel like betrayed..
20,4,Wonderful,"I'm writing the review after using it for 10+ days I actually didn't thought this phone would be so great!! The camera quality is really good🫶🏻🩷 really didn't thought that Samsung would provide such a good camera in this rate... I gave some raw pictures as examples 🎢🎡Battery is also good 🔋(depends on how and how much time we use our phone, everyone has different usage type)Didn't tried gaming yet but yes in this range Samsung F34 5g has good performanceI tried my hands on Samsung..."
21,5,Mind-blowing purchase,Design 7/10Display 9/10Performance 8/10Camera 8/10Battery 10/10Software 9/10Haptics and sound 7/101.Over heating after heavy gaming for hours2.Absolute fine RAM management3.Feels rare gitter with heavy usage but easy with daily task4. Better software support from company regarding after saleservice.6. Buying separate Charging adaptor is some depending
22,4,Wonderful,Brought it during big billion days. Overall it's average phone at this price. I m satisfied with my phone
23,5,Brilliant,Overall very good phone for long uses.. battery is awesome in segment .. I have Redmi phone and then realme but after 1 Yr Redmil and realme get battery drain fast But yes phone is not for gamer bc it won't handle heavy game for long time Display is good but it won't go beyond 1080p in ytube One more u won't getting charger in box so be ready to spend more 1k for that as it won't support other charger as fast charge.. for ex. I have 33 wt realme charger but it take 3 hrs for charging and b...
24,5,Worth every penny,As of now phone working fine.
25,4,Wonderful,"Good smart phone better camera and ois support quality and super sampled display look like SAMSUNG s series 5g available always on display 25w fast charging,but battery life is bit lowThank you..."
26,4,Very Good,Battery drying slight fastly. An update need to fix it. Others all are good
