,productTitle,Rating,Review Title,Review Body
0,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,A Solid Contender for Budget-Minded Gamers and other works,"The HP Victus Gaming Laptop is a compelling choice for gamers on a budget who prioritize affordability and good performance for 1080p gaming.  It offers a good balance of features and delivers a smooth gaming experience. However, if you prioritize factors like premium build quality, extensive upgradability, or silent operation."
1,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Overall Very Good Product,"Arrived today 😇 excellent Product 💪🏻💥 but Wait ! come back after 4 weeks I'll shortly Update this review about pro and consFinally After some uses I'll update this reviewPro1 Sound is loud enough to listen song or dialogue2 Till now I haven't do coding or watching movies in this but only gaming and it's giving out very good performance 3050 doing its job playing GTA V on high graphics and giving 120 to 140 fps so don't worry about it3 Display is good not the best cause it's ips and brightness is also good4 built is very good and premium feels like business laptop and the logo is standing out5 charging is very fast 200w charger y'll get with itCons1 If you are in much wider area sound from speakers will not get into your ears that much but it's loud enough so don't worry2 screen wobble is like too much just move a little bit it's wobbling not much people will get bother by this3 Display is good but there is issue with the display if it is with my laptop only or all other also don't know but it's backlight bleeding if you google it y'll get it just in case screen bleeding means when ur screen goes full black green backlight you will see at every corner or 1, 2 corners of the display I'm trying to contacted hp care but it's not happening so i have to go physically to service centerOverall it's good laptop compared to price and specificationThis is the normal review based on uses only if you want detail specification there are other reviews also"
2,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Great hardware,Everything you expect from it. Beefy laptop with good performance.
3,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Elegant,"This is my Third laptopLaptop looks very elegant, the blue colour makes head turningOverall experience is worth every penny"
4,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Short battery life & poor performance; delayed customer support.,"I recently purchased the HP Victus Gaming Laptop from Amazon, and I must say I am thoroughly disappointed with my purchase. I had high hopes for this gaming laptop, but it has fallen far short of my expectations.First and foremost, the battery life is abysmal. I expected a laptop with decent battery performance, but I can barely get it to last for more than 2 hours of simple usage. It's incredibly frustrating to have to constantly be tethered to a power source when I had hoped to use it on the go. This severely limits its portability and functionality.Moreover, the laptop's performance is far from what I anticipated. With its 12th Gen Intel Core i5-12450H and NVIDIA RTX 3050 GPU, I expected smooth gaming and multitasking capabilities. However, I've experienced significant lag and performance issues that make it nearly impossible to enjoy gaming or perform tasks efficiently. It's disheartening to invest in a so-called gaming laptop and have it struggle with even the most basic of tasks.Adding to my disappointment, I've tried reaching out to Amazon's customer service team for assistance with these problems, but they have yet to arrive at my home after two weeks of waiting. The lack of timely customer support is incredibly frustrating and adds to the overall negative experience.In conclusion, the HP Victus Gaming Laptop has been a letdown in every aspect. The short battery life, poor performance, and lack of effective customer support have made this purchase a regrettable one. I would not recommend this product to anyone, and I'm left feeling unsatisfied and frustrated with my Amazon shopping experience."
5,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,It is a nice product,"I using for a month ,i didnt notice any problemBut may be you can disappoint at battery back up"
6,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Best In Segment (60-65k) for those who want to buy profetional looking gaming device.,"Apart from build quality which does not seems to me great but in terms of every other thing...this product is best in class for every task. And most valuable for the range of 60k to 65k.The Features it provides me at 61k,• Basic display with 144hz• Good CPU : Intel i5 12450H gaming Processor• Decent GPU: Nvidia Rtx 3050 with 75watts of TGP• 16GB DDR4 RAM/ 512 GB SSD• GOOD THERMALS• Professional design and slim build (plastic)• MS office life time for students• Good battry backup• Including all this feature in laptop The laptop has a great hardware features and professional looks but slightly decent build quality offered by VICTUS at a price for 60k at which other brands do little bit cost cutting at dispatch by giving 60hz penal and some brand provides low TGP. but this product belence every thing and still at the best price.• But nowdays If you can go Litt further than must buy acer Nitro V cuz it offers very great in segment features like no other brands gives to their leptops.It's best product under 75k in any prespactive.• If you have slightly low budget than by aspire 7 with same spacifications but slightly lower TGP and some other ignorable drawbacks which doesn't worth mentioning.But You have 60 to 65k than it's a great product to buy in fact 1st ranked. 😊👍🏻✨"
7,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,70 WHr Battery!!!,"If you're doing normal reading task, it lasts for around 6 hours..Little task it last for 4 hours..Heavy task it lasts for 2 hours..."
8,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Gaming and Value for money,"It is best to choose who looking for gaming laptop under 65k. It has some cons which will be common in others also. However, the built quality is some what poor, comparing to all it can be acceptable. overall performance is just awsome."
9,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Good,Good
10,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Great product,Great product overall good but only sound little bit low
11,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Battery performance is worst,In terms of price and features it's goodBut service is worst and battt performance is poor ! Can not use it more than 40 minutes with chrome app only !Really feeling bad about service
12,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",3.0 out of 5 stars,Battery draining and wobbling screen,Battery is not good and screen is also wobbling. Though the look of laptop is beautiful and can do multiple tasks at once and can handle 3d softwares.
13,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Best Laptop under 70K,Bought this laptop at 69k.Performance is very good.Games run smoothly.The battery is average.The display quality and speakers quality and laptop cooling feature with fans are awesome.Loving this laptop. A great choice for Java programmers and occasional Gaming.
14,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Good,Screen is good Quality wise good. But it heavier to handle. Speed is good. I can't sure this is worth for your money
15,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Awesome product by HP and thank you Amazon!,Excellent laptop works very smooth and the games I played were lag free. Must definitley go for it!!
16,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,power gaming machine 💪,"superb tough, long hours game play great sound and pictures"
